 format: day,hour,value location:58_125 Start : 20260101 ,,,영등포구
1,0,-8.4,0시,,
1,100,-6.5,1시,,
1,200,-5.4,2시,,
1,300,-4.5,3시,,
1,400,-4.4,4시,,
1,500,-3.5,5시,,
1,600,-3.2,6시,,
1,700,-3.9,7시,,
1,800,-4.6,8시,,
1,900,-5.2,9시,,
1,1000,-5.9,10시,,
1,1100,-7.1,11시,,
1,1200,-7.5,12시,,
1,1300,-7.9,13시,,
1,1400,-8,14시,,
1,1500,-8.4,15시,,
1,1600,-8.9,16시,,
1,1700,-9.3,17시,,
1,1800,-9.8,18시,,
1,1900,-10,19시,,
1,2000,-10,20시,,
1,2100,-10.1,21시,,
1,2200,-10.2,22시,,
1,2300,-10,23시,,
2,0,-8.8,0시,,
2,100,-8.3,1시,,
2,200,-6.3,2시,,
2,300,-5.2,3시,,
2,400,-4.7,4시,,
2,500,-4.6,5시,,
2,600,-5,6시,,
2,700,-4.8,7시,,
2,800,-5.2,8시,,
2,900,-5.7,9시,,
2,1000,-6.3,10시,,
2,1100,-6.6,11시,,
2,1200,-6.8,12시,,
2,1300,-6.9,13시,,
2,1400,-7,14시,,
2,1500,-7.5,15시,,
2,1600,-7.5,16시,,
2,1700,-7.8,17시,,
2,1800,-8.3,18시,,
2,1900,-8.2,19시,,
2,2000,-8.3,20시,,
2,2100,-8.2,21시,,
2,2200,-8.1,22시,,
2,2300,-6.3,23시,,
3,0,-4.9,0시,,
3,100,-2.9,1시,,
3,200,-1.6,2시,,
3,300,-0.1,3시,,
3,400,-0.2,4시,,
3,500,-0.5,5시,,
3,600,-0.8,6시,,
3,700,-0.7,7시,,
3,800,-0.7,8시,,
3,900,-0.8,9시,,
3,1000,-1.2,10시,,
3,1100,-1.4,11시,,
3,1200,-1.2,12시,,
3,1300,-1.4,13시,,
3,1400,-1.9,14시,,
3,1500,-1.8,15시,,
3,1600,-1.4,16시,,
3,1700,-1,17시,,
3,1800,-1.6,18시,,
3,1900,-1.4,19시,,
3,2000,-1.5,20시,,
3,2100,-2,21시,,
3,2200,-2.2,22시,,
3,2300,-1.6,23시,,
4,0,0.7,0시,,
4,100,1,1시,,
4,200,2.2,2시,,
4,300,2.8,3시,,
4,400,4.2,4시,,
4,500,4.2,5시,,
4,600,3.3,6시,,
4,700,2.3,7시,,
4,800,1.5,8시,,
4,900,1.1,9시,,
4,1000,0.9,10시,,
4,1100,0.7,11시,,
4,1200,0.8,12시,,
4,1300,1,13시,,
4,1400,0.5,14시,,
4,1500,0.1,15시,,
4,1600,-0.4,16시,,
4,1700,-0.8,17시,,
4,1800,-1.1,18시,,
4,1900,-1.3,19시,,
4,2000,-1.9,20시,,
4,2100,-2,21시,,
4,2200,-2,22시,,
4,2300,-1.5,23시,,
5,0,-2,0시,,
5,100,-1.3,1시,,
5,200,0,2시,,
5,300,0.1,3시,,
5,400,0.9,4시,,
5,500,1,5시,,
5,600,0.9,6시,,
5,700,0.3,7시,,
5,800,-0.4,8시,,
5,900,-0.8,9시,,
5,1000,-1.5,10시,,
5,1100,-2.4,11시,,
5,1200,-2.8,12시,,
5,1300,-3.2,13시,,
5,1400,-3.5,14시,,
5,1500,-3.6,15시,,
5,1600,-4,16시,,
5,1700,-3.8,17시,,
5,1800,-4.3,18시,,
5,1900,-4.8,19시,,
5,2000,-4.7,20시,,
5,2100,-5.4,21시,,
5,2200,-5.3,22시,,
5,2300,-4,23시,,
6,0,-1.8,0시,,
6,100,-0.4,1시,,
6,200,1.4,2시,,
6,300,2.4,3시,,
6,400,2.9,4시,,
6,500,3.4,5시,,
6,600,3.8,6시,,
6,700,3.2,7시,,
6,800,2.8,8시,,
6,900,2.5,9시,,
6,1000,2.2,10시,,
6,1100,1.9,11시,,
6,1200,1.9,12시,,
6,1300,1.9,13시,,
6,1400,1.8,14시,,
6,1500,1.7,15시,,
6,1600,1.5,16시,,
6,1700,1.6,17시,,
6,1800,1.7,18시,,
6,1900,1.5,19시,,
6,2000,2.2,20시,,
6,2100,2.7,21시,,
6,2200,2.5,22시,,
6,2300,1,23시,,
7,0,0.7,0시,,
7,100,1.2,1시,,
7,200,2.1,2시,,
7,300,1.9,3시,,
7,400,2,4시,,
7,500,1.9,5시,,
7,600,1.4,6시,,
7,700,0.9,7시,,
7,800,-0.2,8시,,
7,900,-1,9시,,
7,1000,-2.5,10시,,
7,1100,-3.1,11시,,
7,1200,-3.5,12시,,
7,1300,-3.6,13시,,
7,1400,-3.9,14시,,
7,1500,-4.2,15시,,
7,1600,-4.5,16시,,
7,1700,-5,17시,,
7,1800,-5.3,18시,,
7,1900,-5.8,19시,,
7,2000,-6.4,20시,,
7,2100,-6.6,21시,,
7,2200,-7.1,22시,,
7,2300,-6.7,23시,,
8,0,-6,0시,,
8,100,-5.1,1시,,
8,200,-4.1,2시,,
8,300,-3.3,3시,,
8,400,-3.2,4시,,
8,500,-2.4,5시,,
8,600,-1,6시,,
8,700,-2,7시,,
8,800,-3.1,8시,,
8,900,-3.4,9시,,
8,1000,-3.6,10시,,
8,1100,-3.7,11시,,
8,1200,-3.9,12시,,
8,1300,-4.3,13시,,
8,1400,-4.5,14시,,
8,1500,-4.5,15시,,
8,1600,-4.6,16시,,
8,1700,-4.4,17시,,
8,1800,-4.5,18시,,
8,1900,-4.7,19시,,
8,2000,-4.6,20시,,
8,2100,-3.9,21시,,
8,2200,-3.2,22시,,
8,2300,-2.5,23시,,
9,0,-1,0시,,
9,100,2,1시,,
9,200,2.4,2시,,
9,300,2.7,3시,,
9,400,3.6,4시,,
9,500,3.9,5시,,
9,600,4.2,6시,,
9,700,4.6,7시,,
9,800,4.8,8시,,
9,900,4.6,9시,,
9,1000,4.5,10시,,
9,1100,4.4,11시,,
9,1200,4.2,12시,,
9,1300,4.6,13시,,
9,1400,4.5,14시,,
9,1500,4.7,15시,,
9,1600,5.2,16시,,
9,1700,5.5,17시,,
9,1800,7.7,18시,,
9,1900,7.9,19시,,
9,2000,7.2,20시,,
9,2100,7.4,21시,,
9,2200,6.1,22시,,
9,2300,5,23시,,
10,0,5.4,0시,,
10,100,5.6,1시,,
10,200,4.7,2시,,
10,300,4.7,3시,,
10,400,3.5,4시,,
10,500,2.6,5시,,
10,600,1.1,6시,,
10,700,0.1,7시,,
10,800,-0.5,8시,,
10,900,-1.3,9시,,
10,1000,-2.5,10시,,
10,1100,-2.8,11시,,
10,1200,-3.2,12시,,
10,1300,-3.7,13시,,
10,1400,-4.1,14시,,
10,1500,-4.6,15시,,
10,1600,-5.1,16,,
10,1700,-5.7,17,,
10,1800,-6.2,18,,
10,1900,-6.7,19,,
10,2000,-7,20,,
10,2100,-7,21,,
10,2200,-7.3,22,,
10,2300,-7.2,23,,
11,0,-6.3,0,,
11,100,-5.8,1,,
11,200,-5.1,2,,
11,300,-4.6,3,,
11,400,-4,4,,
11,500,-4.1,5,,
11,600,-4.2,6,,
11,700,-4.3,7,,
11,800,-4.8,8,,
11,900,-5.3,9,,
11,1000,-5.8,10,,
11,1100,-6.3,11,,
11,1200,-6.8,12,,
11,1300,-7.1,13,,
11,1400,-7.4,14,,
11,1500,-7.5,15,,
11,1600,-7.4,16,,
11,1700,-7.6,17,,
11,1800,-7.9,18,,
11,1900,-7.7,19,,
11,2000,-7.9,20,,
11,2100,-7.5,21,,
11,2200,-7.3,22,,
11,2300,-5.9,23,,
12,0,-4.7,0,,
12,100,-2.7,1,,
12,200,-1.4,2,,
12,300,0.1,3,,
12,400,-0.5,4,,
12,500,0.1,5,,
12,600,0.7,6,,
12,700,0.3,7,,
12,800,0.4,8,,
12,900,0.7,9,,
12,1000,1.4,10,,
12,1100,1.8,11,,
12,1200,2.1,12,,
12,1300,2.1,13,,
12,1400,2.6,14,,
12,1500,2.7,15,,
12,1600,2.7,16,,
12,1700,1.9,17,,
12,1800,0.7,18,,
12,1900,0,19,,
12,2000,-0.7,20,,
12,2100,-1.1,21,,
12,2200,-1.7,22,,
12,2300,-1.8,23,,
13,0,-2.2,0,,
13,100,-1.7,1,,
13,200,-1.1,2,,
13,300,-1.9,3,,
13,400,-1,4,,
13,500,-1.6,5,,
13,600,-1.9,6,,
13,700,-2.5,7,,
13,800,-3.3,8,,
13,900,-4.1,9,,
13,1000,-4.5,10,,
13,1100,-5,11,,
13,1200,-5.7,12,,
13,1300,-5.9,13,,
13,1400,-6.3,14,,
13,1500,-6.4,15,,
13,1600,-6.3,16,,
13,1700,-6.4,17,,
13,1800,-6.7,18,,
13,1900,-7.1,19,,
13,2000,-7.1,20,,
13,2100,-6.9,21,,
13,2200,-6.5,22,,
13,2300,-6.1,23,,
14,0,-4.7,0,,
14,100,-2.6,1,,
14,200,-1.3,2,,
14,300,-0.9,3,,
14,400,0.5,4,,
14,500,0.8,5,,
14,600,1.1,6,,
14,700,0.6,7,,
14,800,0.7,8,,
14,900,0.9,9,,
14,1000,0.8,10,,
14,1100,0.9,11,,
14,1200,1.1,12,,
14,1300,1.2,13,,
14,1400,1.8,14,,
14,1500,2.3,15,,
14,1600,2.4,16,,
14,1700,2.7,17,,
14,1800,2.9,18,,
14,1900,3.1,19,,
14,2000,3.3,20,,
14,2100,3.6,21,,
14,2200,4,22,,
14,2300,4.7,23,,
15,0,7.6,0,,
15,100,8.2,1,,
15,200,8.6,2,,
15,300,8.9,3,,
15,400,9,4,,
15,500,9.4,5,,
15,600,8.7,6,,
15,700,7.3,7,,
15,800,5.9,8,,
15,900,5.1,9,,
15,1000,4.3,10,,
15,1100,3.8,11,,
15,1200,3.1,12,,
15,1300,2.8,13,,
15,1400,2.5,14,,
15,1500,1.6,15,,
15,1600,1.3,16,,
15,1700,1.1,17,,
15,1800,1,18,,
15,1900,1.2,19,,
15,2000,1.1,20,,
15,2100,0.8,21,,
15,2200,1,22,,
15,2300,0.9,23,,
16,0,1.2,0,,
16,100,2.2,1,,
16,200,4.2,2,,
16,300,6.3,3,,
16,400,8.7,4,,
16,500,9.9,5,,
16,600,10.6,6,,
16,700,9.8,7,,
16,800,5.5,8,,
16,900,3.9,9,,
16,1000,3.9,10,,
16,1100,4,11,,
16,1200,4.5,12,,
16,1300,3.8,13,,
16,1400,3.4,14,,
16,1500,3.2,15,,
16,1600,2.6,16,,
16,1700,1.7,17,,
16,1800,0.3,18,,
16,1900,-0.3,19,,
16,2000,-0.8,20,,
16,2100,-1.5,21,,
16,2200,-2,22,,
16,2300,-2.2,23,,
17,0,-1.7,0,,
17,100,-0.8,1,,
17,200,1.6,2,,
17,300,2.9,3,,
17,400,3.7,4,,
17,500,2.9,5,,
17,600,3.1,6,,
17,700,2.8,7,,
17,800,1.5,8,,
17,900,1.2,9,,
17,1000,0.4,10,,
17,1100,0.2,11,,
17,1200,-0.2,12,,
17,1300,-0.4,13,,
17,1400,-0.7,14,,
17,1500,-1,15,,
17,1600,-1.3,16,,
17,1700,-1.5,17,,
17,1800,-1.5,18,,
17,1900,-1.5,19,,
17,2000,-1.2,20,,
17,2100,-0.7,21,,
17,2200,-0.4,22,,
17,2300,-0.8,23,,
18,0,-0.7,0,,
18,100,0.3,1,,
18,200,0.5,2,,
18,300,1.3,3,,
18,400,3.2,4,,
18,500,3.2,5,,
18,600,3.2,6,,
18,700,3.4,7,,
18,800,2.8,8,,
18,900,3.1,9,,
18,1000,3.4,10,,
18,1100,3.2,11,,
18,1200,3.3,12,,
18,1300,2.4,13,,
18,1400,1.6,14,,
18,1500,1.1,15,,
18,1600,0.8,16,,
18,1700,0,17,,
18,1800,-0.6,18,,
18,1900,-1.5,19,,
18,2000,-1.9,20,,
18,2100,-1.6,21,,
18,2200,-1.8,22,,
18,2300,-1.9,23,,
19,0,-1.8,0,,
19,100,-1.8,1,,
19,200,-2.1,2,,
19,300,-2.1,3,,
19,400,-2.4,4,,
19,500,-2.5,5,,
19,600,-2.7,6,,
19,700,-3.8,7,,
19,800,-4.7,8,,
19,900,-6.1,9,,
19,1000,-7.4,10,,
19,1100,-8,11,,
19,1200,-8.3,12,,
19,1300,-9,13,,
19,1400,-9.1,14,,
19,1500,-9.4,15,,
19,1600,-9.4,16,,
19,1700,-9.5,17,,
19,1800,-9.8,18,,
19,1900,-10.1,19,,
19,2000,-10.5,20,,
19,2100,-10.8,21,,
19,2200,-11.1,22,,
19,2300,-10.8,23,,
20,0,-10.2,0,,
20,100,-8.6,1,,
20,200,-8.6,2,,
20,300,-7.2,3,,
20,400,-6,4,,
20,500,-4.7,5,,
20,600,-5.1,6,,
20,700,-5.4,7,,
20,800,-6.1,8,,
20,900,-6.4,9,,
20,1000,-6.5,10,,
20,1100,-6.9,11,,
20,1200,-7.3,12,,
20,1300,-7.9,13,,
20,1400,-8.5,14,,
20,1500,-9,15,,
20,1600,-9.5,16,,
20,1700,-9.7,17,,
20,1800,-10,18,,
20,1900,-10.1,19,,
20,2000,-10.3,20,,
20,2100,-10.5,21,,
20,2200,-10.5,22,,
20,2300,-10.6,23,,
21,0,-9.8,0,,
21,100,-9,1,,
21,200,-8,2,,
21,300,-7.2,3,,
21,400,-6.2,4,,
21,500,-5.9,5,,
21,600,-5.5,6,,
21,700,-5.7,7,,
21,800,-6.6,8,,
21,900,-7.3,9,,
21,1000,-7.9,10,,
21,1100,-9.1,11,,
21,1200,-10,12,,
21,1300,-10.6,13,,
21,1400,-10.9,14,,
21,1500,-10.9,15,,
21,1600,-10.8,16,,
21,1700,-11,17,,
21,1800,-11.3,18,,
21,1900,-11.6,19,,
21,2000,-11.8,20,,
21,2100,-11.9,21,,
21,2200,-11.9,22,,
21,2300,-11.6,23,,
22,0,-10.6,0,,
22,100,-9.3,1,,
22,200,-7.8,2,,
22,300,-6.8,3,,
22,400,-5.5,4,,
22,500,-5.5,5,,
22,600,-4.6,6,,
22,700,-4.9,7,,
22,800,-5.5,8,,
22,900,-5.5,9,,
22,1000,-5.8,10,,
22,1100,-5.7,11,,
22,1200,-6.7,12,,
22,1300,-7.4,13,,
22,1400,-7.6,14,,
22,1500,-7.9,15,,
22,1600,-8.1,16,,
22,1700,-8.4,17,,
22,1800,-8.5,18,,
22,1900,-8.7,19,,
22,2000,-8.7,20,,
22,2100,-8.2,21,,
22,2200,-8.7,22,,
22,2300,-7.7,23,,
23,0,-6.1,0,,
23,100,-4.8,1,,
23,200,-3.8,2,,
23,300,-2.3,3,,
23,400,-1,4,,
23,500,-0.3,5,,
23,600,-0.4,6,,
23,700,-1.3,7,,
23,800,-1.5,8,,
23,900,-1.5,9,,
23,1000,-1.5,10,,
23,1100,-2,11,,
23,1200,-2.8,12,,
23,1300,-2.4,13,,
23,1400,-2.3,14,,
23,1500,-2.3,15,,
23,1600,-3.9,16,,
23,1700,-5.2,17,,
23,1800,-5.7,18,,
23,1900,-6.2,19,,
23,2000,-6.6,20,,
23,2100,-7.3,21,,
23,2200,-7.5,22,,
23,2300,-7.4,23,,
24,0,-6.8,0,,
24,100,-6.4,1,,
24,200,-4.7,2,,
24,300,-3.8,3,,
24,400,-3.1,4,,
24,500,-2.7,5,,
24,600,-2.1,6,,
24,700,-2.7,7,,
24,800,-3.4,8,,
24,900,-3.6,9,,
24,1000,-3.8,10,,
24,1100,-3.6,11,,
24,1200,-4,12,,
24,1300,-4.7,13,,
24,1400,-5.3,14,,
24,1500,-5.6,15,,
24,1600,-5.9,16,,
24,1700,-6,17,,
24,1800,-6.7,18,,
24,1900,-6.9,19,,
24,2000,-6.6,20,,
24,2100,-7.3,21,,
24,2200,-7.6,22,,
24,2300,-7.3,23,,
25,0,-6.7,0,,
25,100,-6,1,,
25,200,-4.7,2,,
25,300,-4.2,3,,
25,400,-2.8,4,,
25,500,-2.7,5,,
25,600,-2.9,6,,
25,700,-3.5,7,,
25,800,-4.1,8,,
25,900,-4.6,9,,
25,1000,-4.8,10,,
25,1100,-4.9,11,,
25,1200,-5,12,,
25,1300,-5.2,13,,
25,1400,-5.7,14,,
25,1500,-6,15,,
25,1600,-6.4,16,,
25,1700,-6.4,17,,
25,1800,-6.7,18,,
25,1900,-6.6,19,,
25,2000,-6,20,,
25,2100,-6.7,21,,
25,2200,-6.4,22,,
25,2300,-5.6,23,,
26,0,-4.8,0,,
26,100,-4.3,1,,
26,200,-3.3,2,,
26,300,-2.7,3,,
26,400,-1.4,4,,
26,500,-0.9,5,,
26,600,-0.3,6,,
26,700,-0.9,7,,
26,800,-1.5,8,,
26,900,-1.8,9,,
26,1000,-2.3,10,,
26,1100,-2.5,11,,
26,1200,-2.9,12,,
26,1300,-2.8,13,,
26,1400,-2.3,14,,
26,1500,-2,15,,
26,1600,-3,16,,
26,1700,-4,17,,
26,1800,-4.5,18,,
26,1900,-4.7,19,,
26,2000,-4.7,20,,
26,2100,-4.9,21,,
26,2200,-5.3,22,,
26,2300,-5.3,23,,
27,0,-5,0,,
27,100,-3.9,1,,
27,200,-2.6,2,,
27,300,-2.1,3,,
27,400,-1.5,4,,
27,500,-0.7,5,,
27,600,-0.8,6,,
27,700,-1.1,7,,
27,800,-2.2,8,,
27,900,-2.9,9,,
27,1000,-3,10,,
27,1100,-4.5,11,,
27,1200,-5.6,12,,
27,1300,-6.3,13,,
27,1400,-6.4,14,,
27,1500,-6.7,15,,
27,1600,-6.6,16,,
27,1700,-6.9,17,,
27,1800,-6.9,18,,
27,1900,-7,19,,
27,2000,-7.2,20,,
27,2100,-7.3,21,,
27,2200,-7.5,22,,
27,2300,-6.8,23,,
28,0,-5.8,0,,
28,100,-5.1,1,,
28,200,-4.4,2,,
28,300,-2.6,3,,
28,400,-2.8,4,,
28,500,-1.5,5,,
28,600,-1.6,6,,
28,700,-1.5,7,,
28,800,-2.1,8,,
28,900,-2.5,9,,
28,1000,-3.1,10,,
28,1100,-3.2,11,,
28,1200,-3.3,12,,
28,1300,-3.5,13,,
28,1400,-3.9,14,,
28,1500,-4.8,15,,
28,1600,-5.6,16,,
28,1700,-5.9,17,,
28,1800,-6.1,18,,
28,1900,-6.3,19,,
28,2000,-6.7,20,,
28,2100,-6.9,21,,
28,2200,-6.6,22,,
28,2300,-5.4,23,,
29,0,-3.6,0,,
29,100,-3,1,,
29,200,-2.6,2,,
29,300,-1.7,3,,
29,400,-0.7,4,,
29,500,-1,5,,
29,600,-0.6,6,,
29,700,-1,7,,
29,800,-2.4,8,,
29,900,-2.6,9,,
29,1000,-3.1,10,,
29,1100,-4.5,11,,
29,1200,-6.1,12,,
29,1300,-6.2,13,,
29,1400,-6.3,14,,
29,1500,-6.8,15,,
29,1600,-7,16,,
29,1700,-7.2,17,,
29,1800,-7.1,18,,
29,1900,-7.2,19,,
29,2000,-7.6,20,,
29,2100,-7.9,21,,
29,2200,-8.1,22,,
29,2300,-7.9,23,,
30,0,-7.1,0,,
30,100,-5.7,1,,
30,200,-5.9,2,,
30,300,-4.8,3,,
30,400,-3.5,4,,
30,500,-2.5,5,,
30,600,-3,6,,
30,700,-2.6,7,,
30,800,-3.7,8,,
30,900,-4.1,9,,
30,1000,-4.6,10,,
30,1100,-4.6,11,,
30,1200,-4.8,12,,
30,1300,-5.3,13,,
30,1400,-5.8,14,,
30,1500,-6.1,15,,
30,1600,-6.4,16,,
30,1700,-6.7,17,,
30,1800,-6.8,18,,
30,1900,-6.8,19,,
30,2000,-7.1,20,,
30,2100,-7.9,21,,
30,2200,-7.7,22,,
30,2300,-6.5,23,,
31,0,-4.8,0,,
31,100,-3.8,1,,
31,200,-1.6,2,,
31,300,-0.8,3,,
31,400,0.4,4,,
31,500,0.6,5,,
31,600,0.5,6,,
31,700,-0.2,7,,
31,800,-1.3,8,,
31,900,-2.1,9,,
31,1000,-2,10,,
31,1100,-1.9,11,,
31,1200,-1.7,12,,
31,1300,-1.4,13,,
31,1400,-1.3,14,,
31,1500,-1.9,15,,
31,1600,-2.2,16,,
31,1700,-2.8,17,,
31,1800,-3.8,18,,
31,1900,-4.3,19,,
31,2000,-4.7,20,,
31,2100,-4.8,21,,
31,2200,-5,22,,
31,2300,-4.1,23,,
 Start : 20260201 ,,,0,,
1,0,-2.5,0,,
1,100,-1.3,1,,
1,200,0.1,2,,
1,300,0.3,3,,
1,400,1.2,4,,
1,500,0.7,5,,
1,600,1.2,6,,
1,700,0.5,7,,
1,800,-0.4,8,,
1,900,-0.4,9,,
1,1000,-0.4,10,,
1,1100,-0.4,11,,
1,1200,-0.6,12,,
1,1300,-0.6,13,,
1,1400,-0.5,14,,
1,1500,-1.3,15,,
1,1600,-2.2,16,,
1,1700,-1.8,17,,
1,1800,-1.8,18,,
1,1900,-2.1,19,,
1,2000,-2.5,20,,
1,2100,-3.1,21,,
1,2200,-3.3,22,,
1,2300,-3.4,23,,
2,0,-2.8,0,,
2,100,-2.2,1,,
2,200,-1.1,2,,
2,300,-0.5,3,,
2,400,-0.8,4,,
2,500,-0.1,5,,
2,600,0.6,6,,
2,700,0,7,,
2,800,-0.8,8,,
2,900,-1.4,9,,
2,1000,-1.7,10,,
2,1100,-1.7,11,,
2,1200,-2.1,12,,
2,1300,-2.5,13,,
2,1400,-2.8,14,,
2,1500,-3.3,15,,
2,1600,-3.8,16,,
2,1700,-4.1,17,,
2,1800,-4.6,18,,
2,1900,-5.1,19,,
2,2000,-5.2,20,,
2,2100,-5.6,21,,
2,2200,-5.6,22,,
2,2300,-3.9,23,,
3,0,-2.2,0,,
3,100,0,1,,
3,200,1.6,2,,
3,300,2.6,3,,
3,400,3.7,4,,
3,500,4.3,5,,
3,600,3.8,6,,
3,700,2.9,7,,
3,800,2.5,8,,
3,900,2.1,9,,
3,1000,2,10,,
3,1100,1.7,11,,
3,1200,1.5,12,,
3,1300,1.3,13,,
3,1400,1.5,14,,
3,1500,0.9,15,,
3,1600,1.1,16,,
3,1700,0.9,17,,
3,1800,1.1,18,,
3,1900,1.4,19,,
3,2000,1.6,20,,
3,2100,1.7,21,,
3,2200,2.1,22,,
3,2300,2.6,23,,
4,0,3.4,0,,
4,100,4.5,1,,
4,200,5,2,,
4,300,5.3,3,,
4,400,6.1,4,,
4,500,6.8,5,,
4,600,7.1,6,,
4,700,7,7,,
4,800,6.2,8,,
4,900,5.5,9,,
4,1000,5,10,,
4,1100,4.1,11,,
4,1200,3.1,12,,
4,1300,2.5,13,,
4,1400,2.2,14,,
4,1500,2.5,15,,
4,1600,2.7,16,,
4,1700,3.2,17,,
4,1800,3.3,18,,
4,1900,3.3,19,,
4,2000,3.3,20,,
4,2100,3.4,21,,
4,2200,3.4,22,,
4,2300,4,23,,
5,0,5.1,0,,
5,100,6.8,1,,
5,200,8.3,2,,
5,300,9.3,3,,
5,400,8.8,4,,
5,500,8.6,5,,
5,600,7.7,6,,
5,700,7.4,7,,
5,800,5.1,8,,
5,900,4.7,9,,
5,1000,3.4,10,,
5,1100,2.1,11,,
5,1200,0.3,12,,
5,1300,-1.6,13,,
5,1400,-2.7,14,,
5,1500,-3.2,15,,
5,1600,-3.9,16,,
5,1700,-4.7,17,,
5,1800,-5.3,18,,
5,1900,-6.3,19,,
5,2000,-6.7,20,,
5,2100,-7.3,21,,
5,2200,-8.1,22,,
5,2300,-8,23,,
6,0,-7.3,0,,
6,100,-6.7,1,,
6,200,-6.4,2,,
6,300,-5.5,3,,
6,400,-3.6,4,,
6,500,-3.9,5,,
6,600,-3.2,6,,
6,700,-4.1,7,,
6,800,-4.6,8,,
6,900,-5.2,9,,
6,1000,-5.9,10,,
6,1100,-6.7,11,,
6,1200,-7.4,12,,
6,1300,-7.8,13,,
6,1400,-8.3,14,,
6,1500,-8.2,15,,
6,1600,-8.6,16,,
6,1700,-8.9,17,,
6,1800,-9,18,,
6,1900,-9.5,19,,
6,2000,-9.5,20,,
6,2100,-9.8,21,,
6,2200,-10.2,22,,
6,2300,-10,23,,
7,0,-8.8,0,,
7,100,-7.4,1,,
7,200,-6.2,2,,
7,300,-4.7,3,,
7,400,-4.9,4,,
7,500,-4.7,5,,
7,600,-4.9,6,,
7,700,-4.5,7,,
7,800,-5.7,8,,
7,900,-6.3,9,,
7,1000,-7,10,,
7,1100,-8,11,,
7,1200,-9.3,12,,
7,1300,-9.8,13,,
7,1400,-9.8,14,,
7,1500,-9.7,15,,
7,1600,-10.9,16,,
7,1700,-10.2,17,,
7,1800,-10.4,18,,
7,1900,-10.7,19,,
7,2000,-11,20,,
7,2100,-11.3,21,,
7,2200,-11.6,22,,
7,2300,-11.4,23,,
8,0,-10.8,0,,
8,100,-9.5,1,,
8,200,-7.9,2,,
8,300,-7.5,3,,
8,400,-6.1,4,,
8,500,-4.8,5,,
8,600,-4.5,6,,
8,700,-4.3,7,,
8,800,-5.4,8,,
8,900,-5.6,9,,
8,1000,-5.7,10,,
8,1100,-5.5,11,,
8,1200,-5.4,12,,
8,1300,-6.4,13,,
8,1400,-7.1,14,,
8,1500,-7.5,15,,
8,1600,-7.8,16,,
8,1700,-8,17,,
8,1800,-8.2,18,,
8,1900,-8.3,19,,
8,2000,-8.4,20,,
8,2100,-8.6,21,,
8,2200,-8.1,22,,
8,2300,-5.9,23,,
9,0,-4.1,0,,
9,100,-2.4,1,,
9,200,-0.1,2,,
9,300,1.3,3,,
9,400,1.8,4,,
9,500,3.2,5,,
9,600,3.3,6,,
9,700,2.9,7,,
9,800,1.7,8,,
9,900,0.8,9,,
9,1000,0.4,10,,
9,1100,0.1,11,,
9,1200,-0.6,12,,
9,1300,-1,13,,
9,1400,-1.2,14,,
9,1500,-1.3,15,,
9,1600,-1.3,16,,
9,1700,-0.9,17,,
9,1800,-0.8,18,,
9,1900,-0.7,19,,
9,2000,-0.4,20,,
9,2100,0,21,,
9,2200,0.9,22,,
9,2300,0.8,23,,
10,0,1.8,0,,
10,100,2.7,1,,
10,200,2.6,2,,
10,300,3.2,3,,
10,400,4.4,4,,
10,500,4.8,5,,
10,600,4.3,6,,
10,700,3,7,,
10,800,2.7,8,,
10,900,2.7,9,,
10,1000,2.8,10,,
10,1100,2.9,11,,
10,1200,2.9,12,,
10,1300,2.6,13,,
10,1400,2.3,14,,
10,1500,2,15,,
10,1600,2,16,,
10,1700,2.1,17,,
10,1800,2.1,18,,
10,1900,2.2,19,,
10,2000,2.2,20,,
10,2100,2.2,21,,
10,2200,2.3,22,,
10,2300,2.3,23,,
11,0,2.7,0,,
11,100,3.7,1,,
11,200,3.8,2,,
11,300,3.4,3,,
11,400,5.3,4,,
11,500,4.8,5,,
11,600,5.3,6,,
11,700,5.5,7,,
11,800,3.7,8,,
11,900,2.4,9,,
11,1000,1.6,10,,
11,1100,1.1,11,,
11,1200,0.8,12,,
11,1300,0.7,13,,
11,1400,0.4,14,,
11,1500,0.1,15,,
11,1600,-0.1,16,,
11,1700,-0.1,17,,
11,1800,-1.1,18,,
11,1900,-1.5,19,,
11,2000,-1.5,20,,
11,2100,-1.8,21,,
11,2200,-1.7,22,,
11,2300,0.1,23,,
12,0,1.6,0,,
12,100,4.1,1,,
12,200,4.5,2,,
12,300,5.7,3,,
12,400,6.6,4,,
12,500,7.2,5,,
12,600,7.2,6,,
12,700,6.7,7,,
12,800,5.9,8,,
12,900,5.4,9,,
12,1000,5,10,,
12,1100,4.5,11,,
12,1200,4,12,,
12,1300,4,13,,
12,1400,4.1,14,,
12,1500,4.1,15,,
12,1600,4.2,16,,
12,1700,4,17,,
12,1800,3.8,18,,
12,1900,4.2,19,,
12,2000,4.2,20,,
12,2100,3.9,21,,
12,2200,3.9,22,,
12,2300,4.4,23,,
13,0,5,0,,
13,100,5.9,1,,
13,200,6.9,2,,
13,300,7.6,3,,
13,400,7.9,4,,
13,500,8.5,5,,
13,600,8.8,6,,
13,700,8.8,7,,
13,800,8.2,8,,
13,900,7.3,9,,
13,1000,6.4,10,,
13,1100,5.7,11,,
13,1200,5.3,12,,
13,1300,4.9,13,,
13,1400,4.4,14,,
13,1500,4.6,15,,
13,1600,5,16,,
13,1700,5.4,17,,
